ICD10,Text
A89,вирус инфекци централ нерв систем неуточн
A99,вирус хеморагич треск неуточн
B91,последи полиомиелит
B92,последи лепр
C97,злокачеств новообразува самостоятел първич множеств локализаци
D77,наруш кръвт кръвотвор орга болест класифицира другад
E68,последи прехранван
E90,разстройств хранен обмя веществ болест класифицира другад
G01,менингит бактериал болест класифицира другад
G07,вътречереп вътрегръбнач абсцес гранулом болест класифицира другад
G22,паркинсониз болест класифицира другад
G26,екстрапирамид двигател наруш болест класифицира другад
H82,вестибулар синдром болест класифицира другад
J91,плеврал излив състоян класифицира другад
L14,булоз уврежда кожат болест класифицира другад
L45,папулосквамоз уврежда болест класифицира другад
L52,erythema nodosum
L86,кератодерми болест класифицира другад
O96,смърт майк акушерск причин настъпва 42 дни малк годин раждан
P75,мекониум илеус
R81,гликозур
R83,отклон норм откри изследван ликвор
R92,отклон норм откри получаван диагностич изображ хода изследван млечн жлеза
S16,травма мускул сухож ниво шия
T07,множеств травми неуточн
T08,счупван гръбнач стълб неуточн ниво
T10,счупван горен крайни неуточн ниво
T12,счупван долен крайни неуточн ниво
T55,токсич въздействи сапун детергент
T64,токсич ефект замърс хранител продукт афлатокси микотоксин
V01,пешеход пострада сблъскван велосипед
V02,пешеход пострада сблъскван мотор превоз средств три коле
V03,пешеход пострада сблъскван лек автомоб товар автомоб тип пикап фургон
V04,пешеход пострада сблъскван тежкотовар автомоб автобус
V05,пешеход пострада сблъскван влак железопът транспорт средств
V06,пешеход пострада сблъскван немотор транспорт средств
V10,велосипедист пострада сблъскван пешеход живот
V11,велосипедист пострада сблъскван велосипед
V12,велосипедист пострада сблъскван мотор превоз средств три коле
V13,велосипедист пострада сблъскван лек автомоб товар автомоб тип пикап фургон
V14,велосипедист пострада сблъскван тежкотовар автомоб автобус
V15,велосипедист пострада сблъскван влак железопът транспорт средств
V16,велосипедист пострада сблъскван немотор транспорт средств
V17,велосипедист пострада сблъскван закреп стационар обект
V18,велосипедист пострада транспорт злополу сблъскван
V20,мотоциклетист пострада сблъскван пешеход живот
V21,мотоциклетист пострада сблъскван велосипед
V22,мотоциклетист пострада сблъскван мотор превоз средств три коле
V23,мотоциклетист пострада сблъскван лек автомоб товар автомоб тип пикап фургон
V24,мотоциклетист пострада сблъскван тежкотовар автомоб автобус
V25,мотоциклетист пострада сблъскван влак железопът транспорт средств
V26,мотоциклетист пострада сблъскван немотор транспорт средств
V27,мотоциклетист пострада сблъскван закреп стационар обект
V28,мотоциклетист пострада транспорт злополу сблъскван
V30,лице намира мотор превоз средств три коле пострада сблъскван пешеход живот
V31,лице намира мотор превоз средств три коле пострада сблъскван велосипед
V32,лице намира мотор превоз средств три коле пострада сблъскван мотор превоз средств три коле
V33,лице намира мотор превоз средств три коле пострада сблъскван лек автомоб товар автомоб тип пикап фургон
V34,лице намира мотор превоз средств три коле пострада сблъскван тежкотовар автомоб автобус
V35,лице намира мотор превоз средств три коле пострада сблъскван влак железопът транспорт средств
V36,лице намира мотор превоз средств три коле пострада сблъскван немотор транспорт средств
V37,лице намира мотор превоз средств три коле пострада сблъскван закреп стационар обект
V38,лице намира мотор превоз средств три коле пострада транспорт злополу сблъскван
V40,лице намира лек автомоб пострада сблъскван пешеход живот
V41,лице намира лек автомоб пострада сблъскван велосипед
V42,лице намира лек автомоб пострада сблъскван мотор превоз средств три коле
V43,лице намира лек автомоб пострада сблъскван лек автомоб товар автомоб тип пикап фургон
V44,лице намира лек автомоб пострада сблъскван тежкотовар автомоб автобус
V45,лице намира лек автомоб пострада сблъскван влак железопът транспорт средств
V46,лице намира лек автомоб пострада сблъскван немотор транспорт средств
V47,лице намира лек автомоб пострада сблъскван закреп стационар обект
V48,лице намира лек автомоб пострада транспорт злополу сблъскван
V50,лице намира товар автомоб тип пикап фургон пострада сблъскван пешеход живот
V51,лице намира товар автомоб тип пикап фургон пострада сблъскван велосипед
V52,лице намира товар автомоб тип пикап фургон пострада сблъскван мотор превоз средств три коле
V53,лице намира товар автомоб тип пикап фургон пострада сблъскван лек автомоб товар автомоб тип пикап фургон
V54,лице намира товар автомоб тип пикап фургон пострада сблъскван тежкотовар автомоб автобус
V55,лице намира товар автомоб тип пикап фургон пострада сблъскван влак железопът транспорт средств
V56,лице намира товар автомоб тип пикап фургон пострада сблъскван немотор транспорт средств
V57,лице намира товар автомоб тип пикап фургон пострада сблъскван закреп стационар обект
V58,лице намира товар автомоб тип пикап фургон пострада транспорт злополу сблъскван
V60,лице намира тежкотовар автомоб пострада сблъскван пешеход живот
V61,лице намира тежкотовар автомоб пострада сблъскван велосипед
V62,лице намира тежкотовар автомоб пострада сблъскван мотор превоз средств три коле
V63,лице намира тежкотовар автомоб пострада сблъскван лек автомоб товар автомоб тип пикап фургон
V64,лице намира тежкотовар автомоб пострада сблъскван тежкотовар автомоб автобус
V65,лице намира тежкотовар автомоб пострада сблъскван влак железопът транспорт средств
V66,лице намира тежкотовар автомоб пострада сблъскван немотор транспорт средств
V67,лице намира тежкотовар автомоб пострада сблъскван закреп стационар обект
V68,лице намира тежкотовар автомоб пострада транспорт злополу сблъскван
V70,лице намира автобус пострада сблъскван пешеход живот
V71,лице намира автобус пострада сблъскван велосипед
V72,лице намира автобус пострада сблъскван мотор превоз средств три коле
V73,лице намира автобус пострада сблъскван лек автомоб товар автомоб тип пикап фургон
V74,лице намира автобус пострада сблъскван тежкотовар автомоб автобус
V75,лице намира автобус пострада сблъскван влак железопът транспорт средств
V76,лице намира автобус пострада сблъскван немотор транспорт средств
V77,лице намира автобус пострада сблъскван закреп стационар обект
V78,лице намира автобус пострада транспорт злополу сблъскван
V90,потъван водат удавян авар водн превоз средств
V91,уврежда авар водн превоз средств
V92,потъван водат удавян свърза водн превоз средств непредизвика авар
V93,злополу борд водн превоз средств непредизвика авар довежда потъван водат удавян
V94,неуточн злополук воден транспорт
V98,уточн транспорт злополук
V99,транспорт злополу неуточн
W00,падан равн повърхност покри лед сняг
W01,падан равн повърхност подхлъзван погреш стъпван спъван
W02,падан пързалян кънк лед ски ролков кънк скейт борд
W03,падан равн повърхност сблъскван лице блъскан лице
W04,падан лице пренасян поддържан лица
W05,падан свърза инвалид колич
W06,падан свърза легл
W07,падан свърза стол
W08,падан свърза предме
W09,падан свърза оборудван спорт площад
W10,падан стълб стъпа стълб стъпа
W11,падан ескалатор
W12,падан строител скеле
W13,падан сграда съоръжени
W14,падан дърв
W15,падан скала стръмн пропаст
W16,гмуркан скачан вода причин травма различ удавян потъван вода
W17,случа падан равнищ
W18,случа падан равн повърхност
W19,падан неуточн
W20,удар хвърл руша пада предмет
W21,удар спорт оборудван спорт оборудван
W22,удар предмет предмет
W23,притискан смачкван заклещван защипван обект обект
W24,съприкосновени подем предавател устройств некласифицира другад
W25,съприкосновени ост край стъкл
W26,съприкосновени нож сабя кинжа
W27,съприкосновени ръчен инструмент мотор двигат
W28,съприкосновени мотор косачк
W29,съприкосновени мотор ръчн инструмент битов машин
W30,съприкосновени селскостопанск машин
W31,съприкосновени неуточн машин
W32,изстр ръчно огнестрел оръжи
W33,изстр пушк оръжи сачм голямокалибр оръжи
W34,изстр неуточн огнестрел оръжи
W35,експлози спукван парен котел
W36,експлози спукван цилинд газ
W37,спукван автомобил гума тръбопровод шланг под наляган
W38,експлози спукван уточн устройств под наляган
W39,залп фойерверк
W40,експлози веществ
W41,въздействи струи под наляган
W42,въздействи шум
W43,въздействи вибраци
W44,попадан чужд тяло око естеств отвор
W45,проникван чужд тяло кожат
W49,въздействи неуточн нежив механич сили
W50,удар тласкан ритан изкълчван ухапван одраскван лице
W51,удар лице сблъскван
W52,смазван тласкан сгазван тълп паническ бягств хора
W53,ухапван плъх
W54,ухапван удар куче
W55,ухапван удар млекопита
W56,контакт морск живот
W57,ухапван ужилван неотров насеком неотров членестоног
W58,ухапван удар крокод
W59,ухапван разкъсван рептили
W60,контакт шипов бодл раст лист ост краищ
W64,въздействи неуточн живи механич сили
W65,удавян потъван вода къпан вана
W66,удавян потъван вода падан вана
W67,удавян потъван вода къпан плувен басейн
W68,удавян потъван вода падан плувен басейн
W69,удавян потъван вода къпан естеств водоем
W70,удавян потъван вода падан естеств водоем
W73,уточн случа удавян потъван вода
W74,случа удавян потъван вода неуточн
W75,случа задушаван задавян легл
W76,случа задушава задавя
W77,запл дишан засипван ронлив веществ срутен земя материал
W78,вдишван стомаш съдържим
W79,вдишван задавян храна водещ запушван дихател пътищ
W80,вдишван задавян чужд тяло водещ запушван дихател пътищ
W81,случа умишлен попадан среда ниск съдържани кислород
W83,случа уточн запл дишан
W84,запл дишан неуточн
W85,злополу свърза електропровод
W86,злополу свърза уточн източни електрическ ток
W87,злополу свърза неуточн източни електрическ ток
W88,въздействи йонизира излъчван
W89,въздействи изкуств видим ултравиолетов лъчи
W90,въздействи нейонизира излъчван
W91,въздействи излъчван неуточн
W92,въздействи прекомер топли изкуств източни
W93,въздействи прекомер студ изкуств източни
W94,въздействи висок ниск атмосфер наляган промен атмосфер наляган
W99,въздействи неуточн изкуств създа фактор външ среда
X00,въздействи неконтролируем огън пожар сграда съоръжени
X01,въздействи неконтролируем огън пожар сграда съоръжени
X02,въздействи контролируем огън сграда съоръжени
X03,въздействи контролируем огън сграда съоръжени
X04,увреждан запалван леснозапалим веществ
X05,увреждан запалван разтапян пижам риза
X06,увреждан запалван разтапян дреха допълн
X08,въздействи уточн източни дим огън пламъ
X09,въздействи неуточн източни дим огън пламъ
X10,съприкосновени горещ напитк хранител продукт мазнин кулинар масл
X11,съприкосновени горещ теча вода
X12,съприкосновени горещ течност
X13,въздействи пара горещ изпар
X14,въздействи горещ възду газов
X15,съприкосновени горещ битов прибор
X16,съприкосновени горещ нагревател уре отоплител радиатор тръби
X17,съприкосновени горещ двигат машин инструмент
X18,съприкосновени нажеж мета
X19,съприкосновени неуточн нажеж горещ веществ
X20,контакт отров змии гущер
X21,контакт отров паяци
X22,контакт скорпион
X23,контакт стърш оси пчели
X24,контакт стоножк отров многокрак тропическ артропод
X25,контакт уточн отров членестоног
X26,контакт отров морск живот раст
X27,контакт уточн отров живот
X28,контакт уточн отров раст
X29,контакт неуточн отров раст живот
X30,въздействи прекомер висок природ температур
X31,въздействи прекомер ниск природ температур
X32,въздействи слънчев светли
X33,жерт удар мълни
X34,жерт земетресени
X35,жерт вулканич изригван
X36,жерт лавин свлачищ разместван почв
X37,жерт разрушител буря
X38,жерт наводнени
X39,въздействи неуточн природ сили
X40,случа отравян въздействи неопиат аналгети антипирети противоревматич средств
X41,случа отравян въздействи антиконвулсив седатив сънотвор антипаркинсонов психотроп средств некласифицира другад
X42,случа отравян въздействи наркоти психодислепти халюциноген некласифицира другад
X43,случа отравян въздействи лекарств средств влияещ вегетатив нерв систем
X44,случа отравян въздействи неуточн лекарств средств медикамент биологич субстанци
X45,случа отравян въздействи алкохол
X46,случа отравян въздействи органич разтворит халогенсъдържа въглеводород пари
X47,случа отравян въздействи газов парообраз веществ
X48,случа отравян въздействи пестицид
X49,случа отравян въздействи неуточн химич отров веществ
X50,пренапряган резк повтар движен
X51,пътешестви преход
X52,продължител престо безтеглов състояни
X53,липс храна
X54,липс вода
X57,лишен неуточн
X58,въздействи уточн фактор
X59,въздействи неуточн фактор
X60,умишлен самоотравян въздействи неопиат аналгети антипирети противоревматич средств
X61,умишлен самоотравян въздействи антиконвулсив седатив сънотвор антипаркинсонов психотроп средств некласифицира другад
X62,умишлен самоотравян въздействи наркоти психодислепти халюциноген некласифицира другад
X63,умишлен самоотравян въздействи лекарств средств влияещ вегетатив нерв систем
X64,умишлен самоотравян въздействи неуточн лекарств средств медикамент биологич веществ
X65,умишлен самоотравян въздействи алкохол
X66,умишлен самоотравян въздействи органич разтворит халогенсъдържа въглеводород пари
X67,умишлен самоотравян въздействи газов парообраз веществ
X68,умишлен самоотравян въздействи пестицид
X69,умишлен самоотравян въздействи неуточн химич отров веществ
X70,умишлен самонараняван обесван удавян удушаван
X71,умишлен самонараняван потъван вода потапян
X72,умишлен самонараняван изстр ръчно огнестрел оръжи
X73,умишлен самонараняван изстр пушк оръжи сачм голямокалибр оръжи
X74,умишлен самонараняван изстр неуточн огнестрел оръжи
X75,умишлен самонараняван използван взривн веществ
X76,умишлен самонараняван дим огън пламъ
X77,умишлен самонараняван пари горещ изпар горещ предме
X78,умишлен самонараняван ост предме
X79,умишлен самонараняван тъпи предме
X80,умишлен самонараняван скачан висок
X81,умишлен самонараняван скачан под движещ обект ляган
X82,умишлен самонараняван авар мотор превоз средств
X83,умишлен самонараняван уточн действи
X84,умишлен самонараняван неуточн действи
X85,нападени прилаган лекарств средств медикамент биологич веществ
X86,нападени прилаган отров веществ
X87,нападени прилаган пестицид
X88,нападени прилаган газов парообраз веществ
X89,нападени прилаган уточн химич отров веществ
X90,нападени прилаган неуточн химич отров веществ
X91,нападени обесван удушаван удавян
X92,нападени потапян потъван вода
X93,нападени изстр ръчно огнестрел оръжи
X94,нападени изстр пушк оръжи сачм голямокалибр огнестрел оръжи
X95,нападени изстр неуточн огнестрел оръжи
X96,нападени използван взривн веществ
X97,нападени прилаган дим огън пламъ
X98,нападени прилаган пара горещ изпар горещ предме
X99,нападени прилаган ост предмет
Y00,нападени прилаган тъп предмет
Y01,нападени блъскан висок
Y02,нападени тласкан под движещ обект слаган жерт
Y03,нападени връхлитан мотор превоз средств
Y04,нападени прилаган физическ сила
Y05,сексуал нападени прилаган физическ сила
Y08,нападени уточн средств
Y09,нападени неуточн средств
Y10,отравян въздействи неопиат аналгети антипирети противоревматич средств неопредел намер
Y11,отравян въздействи антиконвулсив седатив сънотвор антипаркинсонов психотроп средств некласифицира другад неопредел намер
Y12,отравян въздействи наркоти психодислепти халюциноген некласифицира другад неопредел намер
Y13,отравян въздействи лекарств средств влияещ вегетатив нерв систем неопредел намер
Y14,отравян въздействи неуточн лекарств средств медикамент биологич веществ неопредел намер
Y15,отравян въздействи алкохол неопредел намер
Y16,отравян въздействи органич разтворит халогенсъдържа въглеводород пари неопредел намер
Y17,отравян въздействи газов парообраз веществ неопредел намер
Y18,случа отравян въздействи пестицид неопредел намер
Y19,случа отравян въздействи неуточн химич отров веществ неопредел намер
Y20,обесван удушаван удавян неопредел намер
Y21,потъван под вода потапян неопредел намер
Y22,увреждан изстр ръчно огнестрел оръжи неопредел намер
Y23,увреждан изстр пушк оръжи сачм голямокалибр огнестрел оръжи неопредел намер
Y24,увреждан изстр неуточн огнестрел оръжи неопредел намер
Y25,контакт взривн веществ неопредел намер
Y26,въздействи дим огън пламъ неопредел намер
Y27,контакт пара горещ изпар горещ предме неопредел намер
Y28,контакт ост предмет неопредел намер
Y29,контакт тъп предмет неопредел намер
Y30,падан скачан блъскан висок неопредел намер
Y31,падан ляган бяган движещ обект неопредел намер
Y32,удар мотор превоз средств неопредел намер
Y33,уточн уврежда неуточн случа умишлен
Y34,неуточн увреждани неопредел намер
Y66,непредоставян хирургич терапевтич помощ
Y69,злополу време оказван хирургич терапевтич помощ неуточн
Y70,прибор устройств анестези свърза злополук
Y71,прибор устройств диагности лечени болест сърдеч съдов систем свърза злополук
Y72,прибор устройств използва оториноларингологи свърза злополук
Y73,прибор устройств използва гастроентерологи урологи свърза злополук
Y74,прибор устройств общоболнич индивидуал ползван свърза злополук
Y75,прибор устройств използва неврологи свърза злополук
Y76,прибор устройств използва акушерств гинекологи свърза злополук
Y77,прибор устройств използва офталмологи свърза злополук
Y78,радиологич прибор устройств свърза злополук
Y79,ортопедич прибор устройств свърза злополук
Y80,физиотерапевтич прибор устройств свърза злополук
Y81,прибор устройств прилага общ пластич хирурги свърза злополук
Y82,неуточн медицинск прибор устройств свърза злополук
Y86,последи злополук
Y95,състояни хоспитализиран
Y96,фактор има отношени работ
Y97,фактор свърза замърсяван окол среда
Y98,фактор свърза начин живот
G22,паркинсонов синдром ригид тремор форм
G07,абсцес емболич инфекциоз метастатич множеств пиоген септич главен мозъ част гонококов
R92,анормал анормалност диагностич образ гърд
R83,анормал анормалност течност цереброспинал
L52,еритем erythema еритематоз индуратив нетуберкулоз
R81,захар ури
A89,инфекци инфектира опортюнистич вирус централ нерв систем
L86,кератоз дефицит витами
S16,нараняван мускул сухожили шия ниво
T07,нараняван множеств локализаци
B92,последи болест hansen лепр
B91,последи полиомиелит ост
O96,смърт акушерск неуточн причин 42 дни годин раждан
T08,счупван фрактур абдукци аддукци изскубван раздроб кост компреси разместван косо сепарира гръбнач прешлен прешлен гръб тяло стълб неврал дъга краче бодилообраз израстъ напре трансверзал израстъ
T10,счупван фрактур абдукци аддукци изскубван раздроб кост компреси разместван косо сепарира крайни горен
T12,счупван фрактур абдукци аддукци изскубван раздроб кост компреси разместван косо сепарира крайни долен
A99,треск хеморагич предава артропод вирус
G01,туберкулоз туберкулар туберкулоз казеоз дегенераци гангр некроз менинг менингит базилар голямомозъч гръбначномозъч гръбнач
